NOMA DA LINHA;NOME DO CAMPO;TIPO;DEFAULT;DESCRIÇÃO
FHEAD;File Type Record Descriptor;Char(5);FHEAD;Identifies file record type.
;File Line Identifier;Number(10);Specified by external system;ID of the current line being processed by input file.
;File Type Definition;Char(4);RTLG;Identifies file as Oracle Retail TLOG.
;File Create Date;Char(14);Create date;Date and time file was written by external system (YYYYMMDDHHMMSS).
;Business Date;Char(8);Business Date to process;Business date of transactions (YYYYMMDD).
;Location Number;Char(10);Specified by external system;Store or warehouse identifier.
;Reference Number;Char(30);Specified by external system;This may contain the Polling ID associated with the consolidated TLOG file or used for other purpose.
;RTLOG Originating System;Char(3);POS;Identifies the system the RTLOG file originated from. Valid values are OMS and POS.
THEAD;File Type Record Descriptor;Char(5);THEAD;Identifies file record type.
;File Line Identifier;Number(10);Specified by external system;ID of the current line being processed by input file.
;Register;Char(5);;Till used at the store.
;Transaction Date;Char(14);Transaction date;Date for the transactions that were processed at the POS (YYYYMMDDHHMMSS).
;Transaction Number;Number(10);Transaction identifier.;If sa_system_options, wkstation_tran_append_ind is Y, the first 3 digits indicate the workstation ID and last 7 digits indicate the transaction number.
;Cashier;Char(10);;Cashier identifier.
;Salesperson;Char(10);;Salesperson identifier.
;Transaction Type;Char(6);Refer to TRAT code_type for a list of valid types.;Transaction type.
;Sub-transaction type;Char(6);Refer to TRAS code_type for a list of valid types.;Sub-transaction type. For sale, it can be employee, drive-off, and so on.
;Orig_tran_no;Number(10);;Populated only for post-void transactions. Transaction number for the original transaction that will be cancelled.
;Orig_reg_no;Char(5);;Populated only for post-void transactions. Register number from the original transaction.
;Reason Code;Char(6);Refer to REAC code_type for a list of valid codes. If the transaction type is PAIDOU and the sub transaction type is MV or EV, the valid codes come from the non_merch_code_head table.;Reason entered by the cashier for some transaction types. Required for Paid In and Paid out transaction types, but can also be used for voids, returns, and so on.
;Vendor Number;Char(10);;Supplier ID for a merchandise vendor paid out transaction
;Vendor Invoice Number;Char(30);;Invoice number for a vendor paid out transaction.
;Payment Reference Number;Char(16);;The reference number of the tender used for a vendor payout. This could be the money order number, check number, and so on.
;Proof of Delivery Number;Char(30);;Proof of receipt number given by the vendor at the time of delivery. This field is populated for a vendor paid out transaction.
;Reference Number 1;Char(30);Number associated with a particular transaction, for example, whether for a Store Conditions transaction.;The SA_REFERENCE table defines what this field can contain for each transaction type.
;Reference Number 2;Char(30);;Second generic reference number.
;Reference Number 3;Char(30);;Third generic reference number.
;Reference Number 4;Char(30);;Fourth generic reference number.
;Value Sign;Char(1);Refer to SIGN code_type for a list of valid codes.;Sign of the value.
;Value;Number(20);;Value, with 4 implied decimal places. Populated by the retailer for TOTAL transaction, populated by ReSA for SALE and RETURN transactions.
;Banner id;Number(4);;Banner ID of the location.
;Rounded Amount Sign;Char(1);Refer to SIGN code_type for a list of valid codes.;Sign of rounded amount.
;Rounded Amount;Number(20);;Total rounded amount, with 4 implied decimal places.
;Rounded Off Sign;Char(1);;Refer to SIGN code_type for a list of valid codes.
;Rounded Off Amount;Number(20);;Rounded off amount, with 4 implied decimal places
;Credit Promotion Id;Char(10);;Credit Promotional ID.
;Reference Number 25;Char(30);;
;Reference Number 26;Char(30);;
;Reference Number 27;Char(30);;
;Transaction Processing System;Char(3);Valid values are OMS and POS.;Contains the ID of the system that processed the transaction.
